rollout/ep_rew_mean,time/fps,eval/mean_reward,time/total_timesteps,train/n_updates,eval/std_reward,eval/mean_ep_length,train/learning_rate,rollout/ep_len_mean,time/iterations,train/critic_loss,train/actor_loss,training/completed
0.0,123.05995114340051,2.423813378458018,400,300,4.951500969521619,4,0.0001,500.0,4,2.488988684490323e-05,-0.0035867225378751755,
0.6366082384466581,135.0037739735838,-7.591003726950905,800,700,4.213975544052695,4,0.0001,500.0,8,3.307905717520043e-05,-0.007438930682837963,
-1.4420943644702142,128.88506215472583,-0.613159979104803,1200,1100,6.015579238692232,4,0.0001,500.0,12,3.90847199014388e-05,0.010479912161827087,
-2.200342267158325,107.28335716808836,-0.4221923308553279,1600,1500,2.939275979018604,4,0.0001,500.0,16,0.000127383551443927,-0.0011650618398562074,
0.03704725742635162,12.697654994238183,-2.2958931180954463,2000,1900,4.3209403589381905,4,0.0001,500.0,20,0.0002724016667343676,-0.014185712672770023,
3.8842724740059005,101.35810989767295,-0.02189780443833933,2400,2300,6.271913732257866,4,0.0001,500.0,24,7.511780131608248e-05,-0.017396505922079086,
2.09904086511717,101.15765751859969,-1.6957595737603237,2800,2700,1.4820402445360288,4,0.0001,500.0,28,9.113209671340883e-05,-0.018419956788420677,
2.4448668417678796,85.03262591478459,7.47170069461709,3200,3100,7.451321242506182,4,0.0001,500.0,32,0.00017980362463276833,-0.005842394661158323,
5.675715186829376,120.77968376100372,2.0886958587205546,3600,3500,6.2221204993635375,4,0.0001,500.0,36,0.0004168281448073685,-0.015518542379140854,
6.221808558404613,11.823454731642393,6.288325333326714,4000,3900,7.0137741456935565,4,0.0001,500.0,40,0.0001624232390895486,-0.013059437274932861,
6.767901929979852,104.5253140267091,5.765459748771616,4400,4300,9.223385417915823,4,0.0001,500.0,44,0.000207564837182872,-0.017294786870479584,
3.914313376192524,119.5604576034398,6.198849460374431,4800,4700,4.270675825671092,4,0.0001,500.0,48,0.00011735074804164469,-0.007666445337235928,
5.300792448848592,112.4224504816875,0.7087891040202632,5200,5100,2.7917668985004354,4,0.0001,500.0,52,0.00012946786591783166,-0.01575082167983055,
6.924477282591407,104.81543799006849,3.5478626980158587,5600,5500,2.450470678579371,4,0.0001,500.0,56,0.00016504753148183227,-0.017532777041196823,
6.328012221230506,11.66665146087933,3.7029609231780984,6000,5900,4.684299090643877,4,0.0001,500.0,60,0.0001615555229363963,-0.012466535903513432,
5.731547159869604,123.04785698380925,5.4088381428844485,6400,6300,4.614001485109757,4,0.0001,500.0,64,0.0001291259250137955,-0.011555543169379234,
5.684158245784158,113.9255620762393,2.1447419586036003,6800,6700,3.8935005168207177,4,0.0001,500.0,68,0.0033508872147649527,-0.016772976145148277,
6.491607023798901,93.7706296082666,3.259750011583111,7200,7100,1.35842784686066,4,0.0001,500.0,72,9.883353777695447e-05,-0.014060617424547672,
6.25839698249662,138.72649444307368,3.2708584566941634,7600,7500,4.517649847436809,4,0.0001,500.0,76,0.0002405350678600371,-0.01621197536587715,
5.763908075652262,11.617826581300388,3.195683671576363,8000,7900,2.546914083211596,4,0.0001,500.0,80,0.00029776859446428716,-0.012647029012441635,
5.269419168807903,122.79852605605227,12.475212558008547,8400,8300,3.6122176092249494,4,0.0001,500.0,84,0.00012872429215349257,-0.01598566398024559,
5.381026010595641,79.76172863124417,7.1095655006206755,8800,8700,3.67687100090091,4,0.0001,500.0,88,0.00016258787945844233,-0.014343012124300003,
5.002736561858077,126.73163936977183,1.5053468988415242,9200,9100,2.0321443231027376,4,0.0001,500.0,92,0.00012741220416501164,-0.012694782577455044,
5.597118881032584,116.75846973421697,1.9257846465354054,9600,9500,2.7008520469232096,4,0.0001,500.0,96,0.00012124095519538969,-0.015113352797925472,
5.652985051786946,11.931415660847835,6.652141896149736,10000,9900,3.7056414320892057,4,0.0001,500.0,100,0.001260864664800465,-0.013707445934414864,
5.708851222541308,114.73652996665933,8.406766468497818,10400,10300,2.2794419736174363,4,0.0001,500.0,104,0.00030119187431409955,-0.01160882692784071,
6.656253659994516,115.1443358940156,8.266280427388349,10800,10700,6.364345540423191,4,0.0001,500.0,108,0.0002367500273976475,-0.018019208684563637,
6.787881538887684,118.66028274973152,6.155976403197831,11200,11100,4.0321616620573,4,0.0001,500.0,112,0.0001489468850195408,-0.01862897165119648,
8.053008999494866,103.50818960911339,8.085777751502786,11600,11500,6.51833661292426,4,0.0001,500.0,116,0.0003212332958355546,-0.019095033407211304,
8.961096886253523,10.906853433384109,4.870544547903368,12000,11900,1.7299355842747426,4,0.0001,500.0,120,0.0001855375594459474,-0.017112890258431435,
9.86918477301218,120.29465177882072,12.292876277185028,12400,12300,6.615815436215849,4,0.0001,500.0,124,0.00025492103304713964,-0.014417823404073715,
8.89731501856331,107.13428388323159,7.749536146614091,12800,12700,4.340952360556587,4,0.0001,500.0,128,0.00018272422312293202,-0.013428032398223877,
8.200762140088484,75.82289171959783,10.810151102689495,13200,13100,6.229890871388527,4,0.0001,500.0,132,0.00016740840510465205,-0.009559478610754013,
7.643367481168875,93.60965149559259,5.183638329452836,13600,13500,5.589900269973514,4,0.0001,500.0,136,0.00025235608336515725,-0.018419375643134117,
6.338583546436732,10.76572040601432,9.095468914821518,14000,13900,9.52117389155022,4,0.0001,500.0,140,0.00023744310601614416,-0.014665912836790085,
5.033799611704591,96.36929603586498,6.448067055319319,14400,14300,6.617173925082785,4,0.0001,500.0,144,0.00023510301252827048,-0.010854335501790047,
